episode,reward,moving_avg_reward,epsilon,loss,deliveries,steps
345,3.2600,3.9056,0.1765,0.000031,0,150
346,3.0333,3.9103,0.1756,0.000045,0,150
347,3.0200,3.8931,0.1748,0.000022,0,150
348,3.1667,3.8313,0.1739,0.000023,0,150
349,3.1267,3.7684,0.1730,0.000031,0,150
350,3.0600,3.7255,0.1721,0.000015,0,150
351,2.9667,3.6829,0.1713,0.000014,0,150
352,5.1133,3.6448,0.1704,0.000029,0,150
353,3.1800,3.6435,0.1696,0.000056,0,150
354,5.2333,3.6245,0.1687,0.000017,0,150
355,5.1267,3.5848,0.1679,0.000038,0,150
356,3.1367,3.5621,0.1670,0.000030,0,150
357,3.0733,3.5618,0.1662,0.000033,0,150
358,3.0733,3.5845,0.1654,0.000060,0,150
359,5.2333,3.6060,0.1646,0.000024,0,150
360,3.1133,3.6488,0.1637,0.000043,0,150
361,3.1800,3.6913,0.1629,0.000024,0,150
362,2.9533,3.7351,0.1621,0.000021,0,150
363,2.9800,3.7390,0.1613,0.000023,0,150
364,3.0600,3.7591,0.1605,0.000045,0,150
365,2.9667,3.7568,0.1597,0.000031,0,150
366,3.2700,3.7142,0.1589,0.000020,0,150
367,3.0733,3.6719,0.1581,0.000057,1,150
368,4.9533,3.6291,0.1573,0.000062,0,150
369,7.6333,3.6061,0.1565,0.000044,1,150
370,3.1933,3.5859,0.1557,0.000037,0,150
371,3.2600,3.5661,0.1549,0.000032,0,150
372,5.1667,3.5449,0.1542,0.000034,0,150
373,3.1000,3.5674,0.1534,0.000022,0,150
374,3.1267,3.5931,0.1526,0.000041,0,150
375,3.2333,3.6413,0.1519,0.000043,0,150
376,3.2467,3.7137,0.1511,0.000037,0,150
377,3.1000,3.7845,0.1504,0.000028,0,150
378,5.2333,3.8556,0.1496,0.000015,0,150
379,5.3133,3.9107,0.1489,0.000034,0,150
380,3.2200,3.9186,0.1481,0.000022,0,150
381,2.9800,3.9260,0.1474,0.000050,0,150
382,3.2067,3.9297,0.1466,0.000047,0,150
383,3.1267,3.8918,0.1459,0.000048,0,150
384,4.8600,3.8529,0.1452,0.000014,0,150
385,3.1267,3.8306,0.1444,0.000018,0,150
386,3.1267,3.8047,0.1437,0.000042,0,150
387,3.0867,3.7777,0.1430,0.000029,0,150
388,3.2067,3.7504,0.1423,0.000019,0,150
389,4.9800,3.7000,0.1416,0.000035,0,150
390,3.0733,3.6695,0.1409,0.000061,0,150
391,5.1933,3.6372,0.1402,0.000022,0,150
392,3.3267,3.6299,0.1395,0.000047,0,150
393,3.0733,3.6433,0.1388,0.000037,0,150
394,3.2067,3.6560,0.1381,0.000016,0,150
395,3.0867,3.6348,0.1374,0.000041,0,150
396,3.1000,3.6143,0.1367,0.000024,0,150
397,5.1933,3.5947,0.1360,0.000021,0,150
398,3.0333,3.5963,0.1353,0.000018,0,150
399,3.3000,3.6164,0.1347,0.000028,0,150
400,3.4067,3.6231,0.1340,0.000020,1,150
401,3.6067,3.6345,0.1333,0.000056,1,150
402,3.1533,3.6080,0.1326,0.000072,0,150
403,3.2333,3.5785,0.1320,0.000073,0,150
404,2.9933,3.5512,0.1313,0.000040,0,150
405,7.1800,3.5383,0.1307,0.000049,0,150
406,3.0967,3.5667,0.1300,0.000028,0,150
407,4.8333,3.5953,0.1294,0.000044,0,150
408,3.3000,3.5993,0.1287,0.000053,0,150
409,5.1667,3.6076,0.1281,0.000040,0,150
410,3.2067,3.6515,0.1274,0.000038,0,150
411,3.1800,3.6900,0.1268,0.000046,0,150
412,3.2600,3.7401,0.1262,0.000089,0,150
413,3.2600,3.7930,0.1255,0.000060,0,150
414,3.1267,3.8445,0.1249,0.000101,0,150
415,3.2600,3.8996,0.1243,0.000040,0,150
416,2.7667,3.8745,0.1237,0.000066,0,150
417,3.0467,3.8461,0.1230,0.000067,0,150
418,3.1667,3.8035,0.1224,0.000102,0,150
419,5.3400,3.7568,0.1218,0.000016,0,150
420,3.0867,3.6933,0.1212,0.000029,0,150
421,3.3267,3.6305,0.1206,0.000079,0,150
422,3.1800,3.5735,0.1200,0.000067,0,150
423,3.1800,3.5146,0.1194,0.000045,0,150
424,3.2200,3.4546,0.1188,0.000015,0,150
425,3.3400,3.3942,0.1182,0.000064,0,150
426,2.4600,3.3739,0.1176,0.000057,0,150
427,5.3000,3.3537,0.1170,0.000028,0,150
428,3.3400,3.3740,0.1164,0.000031,1,150
429,3.3267,3.3973,0.1159,0.000026,0,150
430,5.3000,3.3988,0.1153,0.000025,0,150
431,3.3667,3.4236,0.1147,0.000021,0,150
432,5.2467,3.4473,0.1141,0.000021,0,150
433,3.2733,3.4925,0.1136,0.000063,0,150
434,3.3000,3.5395,0.1130,0.000021,0,150
435,3.2333,3.5863,0.1124,0.000042,0,150
436,3.2833,3.6312,0.1119,0.000031,0,150
437,3.2733,3.6874,0.1113,0.000020,0,150
438,3.3000,3.7009,0.1107,0.000018,0,150
439,3.2200,3.7122,0.1102,0.000038,0,150
440,3.1400,3.7425,0.1096,0.000033,0,150
441,3.3000,3.7292,0.1091,0.000023,0,150
442,5.1667,3.7147,0.1085,0.000019,0,150
443,3.2333,3.6788,0.1080,0.000024,0,150
444,3.1267,3.6416,0.1075,0.000032,0,150
445,5.0867,3.6018,0.1069,0.000084,0,150
446,3.2867,3.5817,0.1064,0.000027,0,150
447,5.3400,3.5533,0.1059,0.000028,0,150
448,3.3267,3.5659,0.1053,0.000041,0,150
449,2.9667,3.5791,0.1048,0.000017,0,150
450,3.1800,3.5909,0.1043,0.000027,0,150
451,3.2333,3.6246,0.1038,0.000046,0,150
452,3.1533,3.6584,0.1032,0.000029,0,150
453,5.3133,3.6728,0.1027,0.000017,0,150
454,3.1400,3.7085,0.1022,0.000043,0,150
455,3.1800,3.7460,0.1017,0.000021,0,150
456,3.1800,3.7459,0.1012,0.000020,0,150
457,3.2733,3.7447,0.1007,0.000090,0,150
458,3.3400,3.7021,0.1002,0.000019,0,150
459,3.6733,3.6595,0.0997,0.000017,1,150
460,3.1133,3.6264,0.0992,0.000047,0,150
461,3.3667,3.5923,0.0987,0.000060,0,150
462,3.3133,3.5601,0.0982,0.000048,0,150
463,3.2600,3.5497,0.0977,0.000046,0,150
