episode,reward,moving_avg_reward,epsilon,loss,deliveries,steps
350,2.6800,2.6954,0.1721,0.000117,0,100
351,2.5200,2.7301,0.1713,0.000215,0,100
352,2.2800,2.7617,0.1704,0.000144,0,100
353,2.7200,2.7895,0.1696,0.000639,0,100
354,2.4800,2.8201,0.1687,0.000212,0,100
355,2.6400,2.8547,0.1679,0.000227,0,100
356,2.6600,2.8871,0.1670,0.000149,0,100
357,2.6400,2.8847,0.1662,0.000133,0,100
358,1.9200,2.8542,0.1654,0.000153,0,100
359,3.1000,2.8155,0.1646,0.000100,1,100
360,2.6200,2.7790,0.1637,0.000131,1,100
361,3.3000,2.7417,0.1629,0.000223,1,100
362,2.4000,2.7151,0.1621,0.000303,0,100
363,2.6350,2.6930,0.1613,0.000496,0,100
364,2.6400,2.6672,0.1605,0.000180,0,100
365,3.1800,2.6428,0.1597,0.000291,1,100
366,2.2600,2.6240,0.1589,0.000132,0,100
367,2.7350,2.6190,0.1581,0.000115,0,100
368,2.5200,2.6285,0.1573,0.000178,0,100
369,2.4600,2.6498,0.1565,0.000158,0,100
370,2.9000,2.6609,0.1557,0.000081,1,100
371,2.6800,2.6754,0.1549,0.000471,0,100
372,2.9600,2.6759,0.1542,0.000282,1,100
373,2.8000,2.6808,0.1534,0.000151,1,100
374,2.7400,2.6882,0.1526,0.000212,0,100
375,2.5950,2.6950,0.1519,0.000283,0,100
376,2.4400,2.6905,0.1511,0.000242,0,100
377,2.2600,2.6919,0.1504,0.000223,0,100
378,3.1200,2.6875,0.1496,0.000225,1,100
379,2.7200,2.6832,0.1489,0.000125,0,100
380,2.8400,2.6878,0.1481,0.000340,0,100
381,2.6000,2.6891,0.1474,0.000192,0,100
382,2.7200,2.6957,0.1466,0.000132,0,100
383,2.6200,2.6944,0.1459,0.000282,0,100
384,2.7200,2.6896,0.1452,0.000188,0,100
385,2.6000,2.6836,0.1444,0.000186,0,100
386,2.7550,2.6835,0.1437,0.000133,0,100
387,2.6600,2.6847,0.1430,0.000181,0,100
388,2.7400,2.6947,0.1423,0.000176,0,100
389,2.5800,2.6949,0.1416,0.000214,0,100
390,2.7600,2.6911,0.1409,0.000186,0,100
391,2.5600,2.6871,0.1402,0.000160,0,100
392,2.7200,2.6835,0.1395,0.000273,0,100
393,2.7200,2.6823,0.1388,0.000157,0,100
394,2.1600,2.6839,0.1381,0.000175,0,100
395,4.5800,2.6801,0.1374,0.000120,0,100
396,2.2800,2.6961,0.1367,0.000136,0,100
397,2.8600,2.7041,0.1360,0.000187,1,100
