episode,reward,moving_avg_reward,epsilon,loss,deliveries,steps
239,9.7300,9.3843,0.3003,0.000116,0,250
240,9.6200,9.4012,0.2988,0.000133,0,250
241,9.5100,9.4155,0.2973,0.000095,0,250
242,9.2100,9.4412,0.2958,0.000142,0,250
243,9.2400,9.4587,0.2943,0.000105,0,250
244,9.8500,9.4666,0.2929,0.000143,0,250
245,10.1675,9.4759,0.2914,0.000085,0,250
246,10.1375,9.4887,0.2899,0.000073,0,250
247,9.5700,9.5073,0.2885,0.000105,0,250
248,9.7900,9.5257,0.2870,0.000096,0,250
249,9.6100,9.5510,0.2856,0.000118,0,250
250,8.9000,9.5709,0.2842,0.000098,0,250
251,9.3375,9.5824,0.2828,0.000082,0,250
252,9.5800,9.5858,0.2813,0.000112,0,250
253,10.0300,9.5961,0.2799,0.000142,0,250
254,9.4300,9.6191,0.2785,0.000092,0,250
255,9.8000,9.6344,0.2771,0.000113,0,250
256,10.1800,9.6388,0.2758,0.000086,0,250
257,10.1075,9.6378,0.2744,0.000094,0,250
258,10.2500,9.6421,0.2730,0.000130,0,250
259,9.6500,9.6461,0.2716,0.000086,0,250
260,9.6500,9.6517,0.2703,0.000074,0,250
261,9.2600,9.6720,0.2689,0.000082,0,250
262,9.8275,9.6933,0.2676,0.000265,1,250
263,9.8700,9.7133,0.2663,0.000085,0,250
264,9.5900,9.7238,0.2649,0.000130,0,250
265,9.8700,9.7401,0.2636,0.000071,0,250
266,10.1200,9.7608,0.2623,0.000110,0,250
267,9.3800,9.7805,0.2610,0.000083,0,250
268,10.1500,9.7875,0.2597,0.000087,0,250
269,9.7100,9.7890,0.2584,0.000083,0,250
270,10.1875,9.7906,0.2571,0.000112,0,250
271,9.8200,9.7901,0.2558,0.000140,0,250
272,9.1000,9.7960,0.2545,0.000096,0,250
273,9.9700,9.7921,0.2532,0.000090,0,250
274,10.1900,9.7908,0.2520,0.000103,0,250
275,9.8900,9.7939,0.2507,0.000127,0,250
276,10.0175,9.7966,0.2495,0.000128,0,250
277,10.0600,9.7988,0.2482,0.000097,0,250
278,10.1000,9.8150,0.2470,0.000082,0,250
279,10.1300,9.8318,0.2457,0.000097,0,250
280,9.8000,9.8522,0.2445,0.000083,0,250
281,9.9600,9.8633,0.2433,0.000105,0,250
282,10.2100,9.8702,0.2421,0.000106,1,250
283,10.2500,9.8955,0.2409,0.000118,0,250
284,10.0100,9.9226,0.2397,0.000150,0,250
285,10.1400,9.9419,0.2385,0.000096,0,250
286,9.8700,9.9635,0.2373,0.000074,0,250
287,9.9900,9.9847,0.2361,0.000119,0,250
288,9.9000,9.9983,0.2349,0.000157,0,250
289,10.0200,10.0105,0.2337,0.000280,0,250
290,9.8300,10.0173,0.2326,0.000137,0,250
291,9.9275,10.0284,0.2314,0.000070,0,250
292,9.9900,10.0377,0.2302,0.000320,1,250
293,10.3300,10.0337,0.2291,0.000074,0,250
294,9.8400,10.0277,0.2279,0.000090,0,250
295,10.1800,10.0218,0.2268,0.000066,0,250
296,10.2200,10.0138,0.2257,0.000090,0,250
297,10.7100,10.0107,0.2245,0.000104,0,250
298,10.3000,10.0156,0.2234,0.000079,0,250
299,10.0875,10.0265,0.2223,0.000145,0,250
300,10.1400,10.0391,0.2212,0.000196,1,250
301,9.7200,10.0546,0.2201,0.000155,0,250
302,10.3500,10.0683,0.2190,0.000060,0,250
303,10.5875,10.0878,0.2179,0.000142,0,250
304,10.5100,10.1091,0.2168,0.000238,1,250
305,10.0675,10.1387,0.2157,0.000187,0,250
306,10.2800,10.1669,0.2146,0.000081,0,250
307,11.0200,10.1921,0.2136,0.000170,0,250
308,10.3300,10.2133,0.2125,0.000164,0,250
309,10.1500,10.2307,0.2114,0.000085,0,250
310,10.3400,10.2481,0.2104,0.000114,0,250
311,10.1400,10.2644,0.2093,0.000083,0,250
312,10.7900,10.2870,0.2083,0.000098,0,250
313,10.2400,10.3104,0.2072,0.000066,0,250
314,10.1600,10.3277,0.2062,0.000066,0,250
315,10.5500,10.3348,0.2052,0.000064,0,250
316,10.2500,10.3479,0.2041,0.000086,0,250
317,10.2400,10.3601,0.2031,0.000063,0,250
318,10.0600,10.3614,0.2021,0.000062,0,250
319,10.7100,10.3596,0.2011,0.000081,0,250
320,10.5000,10.3629,0.2001,0.000159,0,250
321,10.6500,10.3657,0.1991,0.000076,1,250
322,10.2800,10.3695,0.1981,0.000056,0,250
323,10.3175,10.3637,0.1971,0.000075,0,250
324,11.0400,10.3622,0.1961,0.000140,1,250
325,10.5575,10.3730,0.1951,0.000142,1,250
326,10.4300,10.3791,0.1942,0.000105,0,250
327,10.6600,10.3872,0.1932,0.000231,0,250
328,10.2675,10.4074,0.1922,0.000227,0,250
329,9.9300,10.4323,0.1913,0.000127,0,250
330,10.5000,10.4438,0.1903,0.000156,0,250
331,10.8900,10.4538,0.1893,0.000142,0,250
332,10.7000,10.4610,0.1884,0.000059,0,250
333,10.5900,10.4775,0.1875,0.000092,0,250
334,10.1900,10.4960,0.1865,0.000141,0,250
335,10.5700,10.4972,0.1856,0.000080,0,250
336,10.7100,10.4984,0.1847,0.000065,0,250
337,10.3500,10.5006,0.1837,0.000076,0,250
338,10.6300,10.4955,0.1828,0.000056,0,250
339,10.7400,10.4920,0.1819,0.000059,0,250
340,10.8075,10.5044,0.1810,0.000098,0,250
341,10.3000,10.5198,0.1801,0.000073,0,250
342,10.3800,10.5270,0.1792,0.000082,0,250
343,10.6600,10.5267,0.1783,0.000061,0,250
344,10.5900,10.5245,0.1774,0.000081,0,250
345,10.8000,10.5347,0.1765,0.000067,0,250
346,10.8700,10.5471,0.1756,0.000234,0,250
347,10.9075,10.5583,0.1748,0.000094,0,250
348,11.0400,10.5782,0.1739,0.000092,0,250
349,10.9000,10.5985,0.1730,0.000083,0,250
350,10.6600,10.6124,0.1721,0.000055,0,250
351,11.2800,10.6217,0.1713,0.000055,0,250
352,11.1100,10.6467,0.1704,0.000067,0,250
353,10.4800,10.6822,0.1696,0.000064,0,250
354,10.5100,10.7152,0.1687,0.000056,0,250
355,11.0100,10.7434,0.1679,0.000075,0,250
356,10.9600,10.7714,0.1670,0.000093,0,250
357,10.9600,10.7987,0.1662,0.000059,0,250
358,10.9000,10.8209,0.1654,0.000067,0,250
359,10.6700,10.8377,0.1646,0.000063,0,250
360,10.8800,10.8505,0.1637,0.000060,0,250
361,10.7300,10.8670,0.1629,0.000058,0,250
362,10.8300,10.8683,0.1621,0.000059,0,250
363,10.7600,10.8594,0.1613,0.000061,0,250
364,10.8700,10.8551,0.1605,0.000067,0,250
365,11.1300,10.8552,0.1597,0.000055,0,250
366,10.8900,10.8545,0.1589,0.000074,0,250
367,10.8900,10.8521,0.1581,0.000063,0,250
368,11.0600,10.8485,0.1573,0.000059,0,250
369,10.9600,10.8479,0.1565,0.000050,0,250
370,10.8900,10.8525,0.1557,0.000080,0,250
371,10.9200,10.8550,0.1549,0.000058,0,250
372,10.9400,10.8649,0.1542,0.000217,0,250
373,11.3400,10.8787,0.1534,0.000072,0,250
374,10.8300,10.8955,0.1526,0.000058,0,250
375,10.5900,10.9083,0.1519,0.000098,0,250
376,11.1300,10.9145,0.1511,0.000199,0,250
377,11.0100,10.9238,0.1504,0.000072,0,250
378,10.8575,10.9350,0.1496,0.000235,0,250
379,10.7000,10.9426,0.1489,0.000085,0,250
380,11.1200,10.9446,0.1481,0.000053,0,250
381,10.7200,10.9489,0.1474,0.000085,0,250
382,11.2600,10.9493,0.1466,0.000050,0,250
383,11.2700,10.9518,0.1459,0.000060,0,250
384,11.1300,10.9477,0.1452,0.000059,0,250
385,10.8800,10.9471,0.1444,0.000058,0,250
386,11.1200,10.9548,0.1437,0.000078,0,250
387,11.0200,10.9600,0.1430,0.000074,0,250
388,11.0200,10.9640,0.1423,0.000079,0,250
389,11.6200,10.9718,0.1416,0.000049,1,250
390,10.7800,10.9913,0.1409,0.000049,0,250
391,10.8700,11.0051,0.1402,0.000074,0,250
392,10.8600,11.0224,0.1395,0.000052,0,250
393,11.0900,11.0326,0.1388,0.000084,0,250
394,10.7400,11.0416,0.1381,0.000069,0,250
395,11.1700,11.0437,0.1374,0.000066,0,250
396,10.9400,11.0458,0.1367,0.000070,0,250
397,11.0000,11.0463,0.1360,0.000141,0,250
398,10.8500,11.0464,0.1353,0.000180,0,250
399,10.8700,11.0432,0.1347,0.000056,0,250
400,11.2400,11.0233,0.1340,0.000061,0,250
401,10.9500,11.0114,0.1333,0.000051,0,250
402,11.3075,10.9988,0.1326,0.000053,0,250
403,11.1300,10.9947,0.1320,0.000061,0,250
404,11.1975,10.9927,0.1313,0.000071,0,250
405,11.0100,10.9993,0.1307,0.000125,0,250
406,11.2100,11.0013,0.1300,0.000072,0,250
407,10.7200,11.0079,0.1294,0.000050,0,250
408,11.1600,11.0118,0.1287,0.000062,0,250
409,11.0000,11.0206,0.1281,0.000073,0,250
410,11.0900,11.0381,0.1274,0.000131,0,250
411,10.9200,11.0496,0.1268,0.000065,0,250
412,11.5200,11.0599,0.1262,0.000077,0,250
413,11.6075,11.0679,0.1255,0.000068,1,250
414,11.1300,11.0803,0.1249,0.000093,0,250
415,11.2100,11.0874,0.1243,0.000056,0,250
416,11.2400,11.0982,0.1237,0.000093,0,250
417,11.4300,11.1065,0.1230,0.000061,0,250
418,10.6500,11.1247,0.1224,0.000132,0,250
419,11.3300,11.1347,0.1218,0.000056,0,250
420,11.2100,11.1468,0.1212,0.000054,0,250
421,10.8600,11.1615,0.1206,0.000159,0,250
422,11.3800,11.1759,0.1200,0.000133,0,250
423,11.1500,11.1868,0.1194,0.000058,0,250
424,11.3100,11.1884,0.1188,0.000064,0,250
425,11.2775,11.1924,0.1182,0.000084,0,250
426,11.1200,11.1951,0.1176,0.000136,0,250
427,11.0500,11.1963,0.1170,0.000124,0,250
428,11.4900,11.1866,0.1164,0.000046,0,250
429,11.0600,11.1904,0.1159,0.000108,0,250
430,11.3400,11.1882,0.1153,0.000092,0,250
